,clashscore,rama_favored_pct,rama_outliers_pct,rotamer_outliers_pct,cbeta_deviations,bond_rmsz,angle_rmsz,molprobity_score,omega_cis_proline,omega_twisted,atom_count,n_bonds,n_angles
clashscore,1.0,-0.02806319300609496,0.05982901201572818,0.07574420045069052,-0.041277627373669086,0.07020788586592597,0.5731708144016311,0.6054667247546802,0.2536069134797326,-0.019954451708542653,0.041224131600878185,-0.029996916027994962,-0.06437633677872347
rama_favored_pct,-0.02806319300609496,1.0,-0.7789511522719929,-0.5728688348867024,-0.09841226769377447,0.17947572522681113,-0.2642697035455889,-0.4296159964152438,0.16285209214110305,-0.3262786465406226,0.11096278251007187,0.1306491176253245,0.1361000044402859
rama_outliers_pct,0.05982901201572818,-0.7789511522719929,1.0,0.3511545970576444,0.04188298613062147,-0.2654858796544106,0.3666227154421719,0.47954493556514816,-0.10775163611903243,0.3900856155517047,-0.07071315515236253,-0.11558066039624375,-0.13274415523777278
rotamer_outliers_pct,0.07574420045069052,-0.5728688348867024,0.3511545970576444,1.0,0.1517699403289666,-0.32610430317199185,0.19093273472417313,0.41336372377461583,-0.012238379053734245,0.13725177162102345,-0.07249207610530571,-0.12831995121907866,-0.15518105571668045
cbeta_deviations,-0.041277627373669086,-0.09841226769377447,0.04188298613062147,0.1517699403289666,1.0,0.013660616029945317,0.2113015239798288,-0.028678683989401623,-0.04622813572896981,0.09697524854887711,-0.018875154242573206,-0.004704291072039618,0.0011482608901729815
bond_rmsz,0.07020788586592597,0.17947572522681113,-0.2654858796544106,-0.32610430317199185,0.013660616029945317,1.0,0.13117076992667856,-0.21779703358915453,-0.032773422565591306,-0.08754336857783762,0.18405499252643368,0.34681876152061547,0.41564863246939576
angle_rmsz,0.5731708144016311,-0.2642697035455889,0.3666227154421719,0.19093273472417313,0.2113015239798288,0.13117076992667856,1.0,0.49030564280160616,0.09997971658529323,0.21238280422677253,-0.017916438893102855,-0.061230867333365364,-0.08384624069515402
molprobity_score,0.6054667247546802,-0.4296159964152438,0.47954493556514816,0.41336372377461583,-0.028678683989401623,-0.21779703358915453,0.49030564280160616,1.0,0.12604755359661438,0.07225553938350845,0.0360381460888235,-0.07284694107359713,-0.11318347122871394
omega_cis_proline,0.2536069134797326,0.16285209214110305,-0.10775163611903243,-0.012238379053734245,-0.04622813572896981,-0.032773422565591306,0.09997971658529323,0.12604755359661438,1.0,-0.01995192244433212,-0.03560380931983341,-0.05313871140462768,-0.06942891956256235
omega_twisted,-0.019954451708542653,-0.3262786465406226,0.3900856155517047,0.13725177162102345,0.09697524854887711,-0.08754336857783762,0.21238280422677253,0.07225553938350845,-0.01995192244433212,1.0,-0.033539060786693206,-0.05671186744789526,-0.06985355267104223
atom_count,0.041224131600878185,0.11096278251007187,-0.07071315515236253,-0.07249207610530571,-0.018875154242573206,0.18405499252643368,-0.017916438893102855,0.0360381460888235,-0.03560380931983341,-0.033539060786693206,1.0,0.975792190773353,0.9499792289687236
n_bonds,-0.029996916027994962,0.1306491176253245,-0.11558066039624375,-0.12831995121907866,-0.004704291072039618,0.34681876152061547,-0.061230867333365364,-0.07284694107359713,-0.05313871140462768,-0.05671186744789526,0.975792190773353,1.0,0.9949802144542582
n_angles,-0.06437633677872347,0.1361000044402859,-0.13274415523777278,-0.15518105571668045,0.0011482608901729815,0.41564863246939576,-0.08384624069515402,-0.11318347122871394,-0.06942891956256235,-0.06985355267104223,0.9499792289687236,0.9949802144542582,1.0
