category,protocol,n,clashscore_mean,clashscore_std,molprobity_mean,molprobity_std,rama_outliers_mean,rota_outliers_mean
Experimental,original,20,15.741500000000006,13.369525155918472,1.6855,0.6627571993295569,1.4984999999999997,7.142999999999999
Experimental,normal_beta,100,14.000900000000001,3.8642448254098865,1.1393,0.1140729431707465,0.2869,0.06709999999999999
Experimental,normal_ref15,100,15.373800000000001,4.094422611950618,1.1783,0.10704530335188446,0.2671,0.062200000000000005
Experimental,cartesian_beta,100,13.214699999999999,3.653347836456504,1.1151,0.11952342232737687,0.3419,0.0098
Experimental,cartesian_ref15,100,15.415799999999999,3.7723834814760195,1.1809,0.10087591137109737,0.39050000000000007,0.0197
Experimental,dualspace_beta,100,13.548100000000003,3.718597187166693,1.1260999999999999,0.11242860809950427,0.19839999999999997,0.0138
Experimental,dualspace_ref15,100,15.015400000000001,3.904062483975875,1.1685999999999999,0.11052692893680717,0.256,0.009500000000000001
AlphaFold,raw,100,18.452900000000003,12.887224689277332,1.2408,0.569798263077434,1.6894,1.0413999999999999
AlphaFold,normal_beta,500,14.004419999999998,3.1617414000771684,1.1458599999999999,0.08989339266090796,0.27284,0.025580000000000002
AlphaFold,normal_ref15,500,15.338260000000002,3.1223864858685046,1.1823800000000002,0.08266682046875179,0.30098,0.02358
AlphaFold,cartesian_beta,500,13.39052,3.373884455971262,1.1236599999999999,0.10573724570963874,0.0679,0.02228
AlphaFold,cartesian_ref15,500,15.35534,3.3821833203457277,1.1816000000000002,0.08751203753442638,0.07953999999999999,0.02282
AlphaFold,dualspace_beta,500,13.609020000000001,3.3793414056991247,1.13022,0.10411451033609609,0.06834,0.01424
AlphaFold,dualspace_ref15,500,15.2715,3.11499842381352,1.17994,0.08493423366403084,0.07818000000000001,0.02136
Boltz,raw,100,38.735899999999994,68.16007359528855,1.3081,0.40569355753605785,0.1372,0.3068
Boltz,normal_beta,500,13.729119999999998,3.4182098740548663,1.13404,0.10133417800161265,0.0575,0.04552
Boltz,normal_ref15,500,15.31426,4.385805128554086,1.17712,0.10122350515563062,0.04938,0.04278
Boltz,cartesian_beta,500,13.373079999999998,3.6285210269869674,1.1283599999999998,0.12732688117337476,0.21588,0.045320000000000006
Boltz,cartesian_ref15,500,15.204600000000001,3.940495635285414,1.1742599999999999,0.10676539748532957,0.14356,0.03872
Boltz,dualspace_beta,500,13.415059999999999,3.462675676710737,1.12352,0.10979672235764132,0.04724,0.023600000000000003
Boltz,dualspace_ref15,500,15.15966,3.45283161720254,1.1746200000000002,0.09842067291842425,0.046799999999999994,0.016300000000000002
